#,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,NOTES,,,,
17,P80000235,Arizona,AZ,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"893,524",,44.40%,,,,,
18,P40002537,Arizona,AZ,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"11,856",,0.59%,,,,,
19,P20000527,Arizona,AZ,11/2/04,Ralph,Nader,"Nader, Ralph",,W,"2,773",,0.14%,,,,,
20,P40003097,Arizona,AZ,11/2/04,David,Cobb,"Cobb, David",,W,138,,0.01%,,,,,
21,n/a,Arizona,AZ,11/2/04,,,,Total State Votes:,,,"2,012,585",,,,,,
22,P00003335,Arkansas,AR,11/2/04,George W.,Bush,"Bush, George W.",,R,"572,898",,54.31%,,,,,
23,P80000235,Arkansas,AR,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"469,953",,44.55%,,,,,
24,P20000527,Arkansas,AR,11/2/04,Ralph,Nader,"Nader, Ralph",,PPA,"6,171",,0.58%,,,,,
25,P40002537,Arkansas,AR,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"2,352",,0.22%,,,,,
26,P40003261,Arkansas,AR,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,CST,"2,083",,0.20%,,,,,
27,P40003097,Arkansas,AR,11/2/04,David,Cobb,"Cobb, David",,GRA,"1,488",,0.14%,,,,,
28,n/a,Arkansas,AR,11/2/04,,,,Total State Votes:,,,"1,054,945",,,,,,
29,P80000235,California,CA,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"6,745,485",,54.30%,,,,,
30,P00003335,California,CA,11/2/04,George W.,Bush,"Bush, George W.",,R,"5,509,826",,44.36%,,,,,
31,P40002537,California,CA,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"50,165",,0.40%,,,,,
32,P40003097,California,CA,11/2/04,David,Cobb,"Cobb, David",,GRN,"40,771",,0.33%,,,,,
33,n/a,California,CA,11/2/04,Leonard,Peltier,"Peltier, Leonard",,PFP,"27,607",,0.22%,,,,,
34,P40003261,California,CA,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,AIP,"26,645",,0.21%,,,,,
35,P20000527,California,CA,11/2/04,Ralph,Nader,"Nader, Ralph",,W,"21,213",,0.17%,,,,,
36,n/a,California,CA,11/2/04,Anthony,Jabin,"Jabin, Anthony",,W,1,,0.00%,,,,,
37,P40003519,California,CA,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,82,,0.00%,,,,,
38,P40003204,California,CA,11/2/04,James,Alexander-Pace,"Alexander-Pace, James",,W,8,,0.00%,,,,,
39,P40003451,California,CA,11/2/04,John,Parker,"Parker, John",,W,49,,0.00%,,,,,
40,n/a,California,CA,11/2/04,,,,Total State Votes:,,,"12,421,852",,,,,,
41,P00003335,Colorado,CO,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,101,255",,51.69%,,,,,
42,P80000235,Colorado,CO,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"1,001,732",,47.02%,,,,,
43,P20000527,Colorado,CO,11/2/04,Ralph,Nader,"Nader, Ralph",,CRP,"12,718",,0.60%,,,,,
44,P40002537,Colorado,CO,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"7,664",,0.36%,,,,,
45,P40003261,Colorado,CO,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,AMC,"2,562",,0.12%,,,,,
46,P40003097,Colorado,CO,11/2/04,David,Cobb,"Cobb, David",,GRN,"1,591",,0.07%,,,,,
47,n/a,Colorado,CO,11/2/04,Stanford E. (Andy),Andress,"Andress, Stanford E. (Andy)",,UN,804,,0.04%,,,,,
48,P40003519,Colorado,CO,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,700,,0.03%,,,,,
49,n/a,Colorado,CO,11/2/04,Gene,Amondson,"Amondson, Gene",,CPP,378,,0.02%,,,,,
50,n/a,Colorado,CO,11/2/04,Bill,Van Auken,"Van Auken, Bill",,SEP,329,,0.02%,,,,,
51,P60004454,Colorado,CO,11/2/04,James E.,Harris,"Harris, James E.",,SWP,241,,0.01%,,,,,
52,P40003337,Colorado,CO,11/2/04,Walter F.,Brown,"Brown, Walter F.",,SOC,216,,0.01%,,,,,
53,n/a,Colorado,CO,11/2/04,Earl F.,Dodge,"Dodge, Earl F.",,P,140,,0.01%,,,,,
54,n/a,Colorado,CO,11/2/04,,,,Total State Votes:,,,"2,130,330",,,,,,
55,P80000235,Connecticut,CT,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"857,488",,54.31%,,,,,
56,P00003335,Connecticut,CT,11/2/04,George W.,Bush,"Bush, George W.",,R,"693,826",,43.95%,,,,,
57,P20000527,Connecticut,CT,11/2/04,Ralph,Nader,"Nader, Ralph",,PC,"12,969",,0.82%,,,,,
58,P40003097,Connecticut,CT,11/2/04,David,Cobb,"Cobb, David",,GRN,"9,564",,0.61%,,,,,
59,P40002537,Connecticut,CT,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"3,367",,0.21%,,,,,
60,P40003261,Connecticut,CT,11/2/04,Michael A.,Peroutka,"Peroutka, Michael A.",,CNC,"1,543",,0.10%,,,,,
61,n/a,Connecticut,CT,11/2/04,R—ger,Calero,"Calero, R—ger",,W,12,,0.00%,,,,,
62,n/a,Connecticut,CT,11/2/04,,,,Total State Votes:,,,"1,578,769",,,,,,
63,P80000235,Delaware,DE,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"200,152",,53.35%,,,,,
64,P00003335,Delaware,DE,11/2/04,George W.,Bush,"Bush, George W.",,R,"171,660",,45.75%,,,,,
65,P20000527,Delaware,DE,11/2/04,Ralph,Nader,"Nader, Ralph",,IDE,"2,153",,0.57%,,,,,
66,P40002537,Delaware,DE,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,586,,0.16%,,,,,
67,P40003261,Delaware,DE,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,CON,289,,0.08%,,,,,
68,P40003097,Delaware,DE,11/2/04,David,Cobb,"Cobb, David",,GRN,250,,0.07%,,,,,
69,P40003337,Delaware,DE,11/2/04,Walter F.,Brown,"Brown, Walter F.",,NL,100,,0.03%,,,,,
70,n/a,Delaware,DE,11/2/04,,,,Total State Votes:,,,"375,190",,,,,,
71,P80000235,District of Columbia,DC,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"202,970",,89.18%,,,,,
72,P00003335,District of Columbia,DC,11/2/04,George W.,Bush,"Bush, George W.",,R,"21,256",,9.34%,,,,,
73,P20000527,District of Columbia,DC,11/2/04,Ralph,Nader,"Nader, Ralph",,I,"1,485",,0.65%,,,,,
74,P40003097,District of Columbia,DC,11/2/04,David,Cobb,"Cobb, David",,DCG,737,,0.32%,,,,,
75,n/a,District of Columbia,DC,11/2/04,,Scattered,Scattered,,W,506,,0.22%,,,,,
76,P40002537,District of Columbia,DC,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,502,,0.22%,,,,,
77,P60004454,District of Columbia,DC,11/2/04,James,Harris,"Harris, James",,SWP,130,,0.06%,,,,,
78,n/a,District of Columbia,DC,11/2/04,,,,Total State Votes:,,,"227,586",,,,,,
79,P00003335,Florida,FL,11/2/04,George W.,Bush,"Bush, George W.",,R,"3,964,522",,52.10%,,,,,
80,P80000235,Florida,FL,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"3,583,544",,47.09%,,,,,
81,P20000527,Florida,FL,11/2/04,Ralph,Nader,"Nader, Ralph",,REF,"32,971",,0.43%,,,,,
82,P40002537,Florida,FL,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBF,"11,996",,0.16%,,,,,
83,P40003261,Florida,FL,11/2/04,Michael A.,Peroutka,"Peroutka, Michael A.",,CPF,"6,626",,0.09%,,,,,
84,P40003097,Florida,FL,11/2/04,David,Cobb,"Cobb, David",,GPF,"3,917",,0.05%,,,,,
85,P40003337,Florida,FL,11/2/04,Walter F.,Brown,"Brown, Walter F.",,SFL,"3,502",,0.05%,,,,,
86,P60004454,Florida,FL,11/2/04,James,Harris,"Harris, James",,FSW,"2,732",,0.04%,,,,,
87,n/a,Florida,FL,11/2/04,,,,Total State Votes:,,,"7,609,810",,,,,,
88,P00003335,Georgia,GA,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,914,254",,57.97%,,,,,
89,P80000235,Georgia,GA,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"1,366,149",,41.37%,,,,,
90,P40002537,Georgia,GA,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"18,387",,0.56%,,,,,
91,P20000527,Georgia,GA,11/2/04,Ralph,Nader,"Nader, Ralph",,W,"2,231",,0.07%,,,,,
92,P40003261,Georgia,GA,11/2/04,Michael A.,Peroutka,"Peroutka, Michael A.",,W,580,,0.02%,,,,,
93,P40003097,Georgia,GA,11/2/04,David,Cobb,"Cobb, David",,W,228,,0.01%,,,,,
94,n/a,Georgia,GA,11/2/04,Tom,Tancredo,"Tancredo, Tom",,W,26,,0.00%,,,,,
95,P40003519,Georgia,GA,11/2/04,John J.,Kennedy,"Kennedy, John J.",,W,8,,0.00%,,,,,
96,n/a,Georgia,GA,11/2/04,David,Byrne,"Byrne, David",,W,7,,0.00%,,,,,
97,n/a,Georgia,GA,11/2/04,James,Pace,"Pace, James",,W,5,,0.00%,,,,,
98,n/a,Georgia,GA,11/2/04,,,,Total State Votes:,,,"3,301,875",,,,,,
99,P80000235,Hawaii,HI,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"231,708",,54.01%,,,,,
100,P00003335,Hawaii,HI,11/2/04,George W.,Bush,"Bush, George W.",,R,"194,191",,45.26%,,,,,
101,P40003097,Hawaii,HI,11/2/04,David,Cobb,"Cobb, David",,GRN,"1,737",,0.40%,,,,,
102,P40002537,Hawaii,HI,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"1,377",,0.32%,,,,,
103,n/a,Hawaii,HI,11/2/04,,,,Total State Votes:,,,"429,013",,,,,,
104,P00003335,Idaho,ID,11/2/04,George W.,Bush,"Bush, George W.",,R,"409,235",,68.38%,,,,,
105,P80000235,Idaho,ID,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"181,098",,30.26%,,,,,
106,P40002537,Idaho,ID,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"3,844",,0.64%,,,,,
107,P40003261,Idaho,ID,11/2/04,Michael A.,Peroutka,"Peroutka, Michael A.",,CON,"3,084",,0.52%,,,,,
108,P20000527,Idaho,ID,11/2/04,Ralph,Nader,"Nader, Ralph",,W,"1,115",,0.19%,,,,,
109,P40003097,Idaho,ID,11/2/04,David,Cobb,"Cobb, David",,W,58,,0.01%,,,,,
110,P40003519,Idaho,ID,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,9,,0.00%,,,,,
111,P40003337,Idaho,ID,11/2/04,Walt,Brown,"Brown, Walt",,W,3,,0.00%,,,,,
112,n/a,Idaho,ID,11/2/04,Reverend,Merepeace-msmere,"Merepeace-msmere, Reverend",,W,1,,0.00%,,,,,
113,n/a,Idaho,ID,11/2/04,,,,Total State Votes:,,,"598,447",,,,,,
114,P80000235,Illinois,IL,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"2,891,550",,54.82%,,,,,
115,P00003335,Illinois,IL,11/2/04,George W.,Bush,"Bush, George W.",,R,"2,345,946",,44.48%,,,,,
116,P40002537,Illinois,IL,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"32,442",,0.62%,,,,,
117,P20000527,Illinois,IL,11/2/04,Ralph,Nader,"Nader, Ralph",,W,"3,571",,0.07%,,,,,
118,P40003261,Illinois,IL,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,W,440,,0.01%,,,,,
119,P40003097,Illinois,IL,11/2/04,David,Cobb,"Cobb, David",,W,241,,0.00%,,,,,
120,P60000221,Illinois,IL,11/2/04,Peter M.,Camejo,"Camejo, Peter M.",,W,115,,0.00%,,,,,
121,n/a,Illinois,IL,11/2/04,Ernest,Virag,"Virag, Ernest",,W,4,,0.00%,,,,,
122,n/a,Illinois,IL,11/2/04,Lawson,Bone,"Bone, Lawson",,W,4,,0.00%,,,,,
123,P40003519,Illinois,IL,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,3,,0.00%,,,,,
124,n/a,Illinois,IL,11/2/04,David,Cook,"Cook, David",,W,2,,0.00%,,,,,
125,P00004762,Illinois,IL,11/2/04,Margaret,Trowe,"Trowe, Margaret",,W,1,,0.00%,,,,,
126,n/a,Illinois,IL,11/2/04,John,Kennedy,"Kennedy, John",,W,1,,0.00%,,,,,
127,n/a,Illinois,IL,11/2/04,Robert M.,Christensen,"Christensen, Robert M.",,W,1,,0.00%,,,,,
128,n/a,Illinois,IL,11/2/04,Joann,Breivogel,"Breivogel, Joann",,W,1,,0.00%,,,,,
129,n/a,Illinois,IL,11/2/04,,,,Total State Votes:,,,"5,274,322",,,,,,
130,P00003335,Indiana,IN,11/2/04,George Walker,Bush,"Bush, George Walker",,R,"1,479,438",,59.94%,,,,,
131,P80000235,Indiana,IN,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"969,011",,39.26%,,,,,
132,P40002537,Indiana,IN,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"18,058",,0.73%,,,,,
133,P20000527,Indiana,IN,11/2/04,Ralph,Nader,"Nader, Ralph",,W,"1,328",,0.05%,,,,,
134,P40003097,Indiana,IN,11/2/04,David,Cobb,"Cobb, David",,W,102,,0.00%,,,,,
135,P40003519,Indiana,IN,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,37,,0.00%,,,,,
136,P40003337,Indiana,IN,11/2/04,Walt,Brown,"Brown, Walt",,W,22,,0.00%,,,,,
137,n/a,Indiana,IN,11/2/04,Lawson Mitchell,Bone,"Bone, Lawson Mitchell",,W,6,,0.00%,,,,,
138,n/a,Indiana,IN,11/2/04,,,,Total State Votes:,,,"2,468,002",,,,,,
139,P00003335,Iowa,IA,11/2/04,George W.,Bush,"Bush, George W.",,R,"751,957",,49.90%,,,,,
140,P80000235,Iowa,IA,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"741,898",,49.23%,,,,,
141,P20000527,Iowa,IA,11/2/04,Ralph,Nader,"Nader, Ralph",,NP,"5,973",,0.40%,,,,,
142,P40002537,Iowa,IA,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"2,992",,0.20%,,,,,
143,P40003261,Iowa,IA,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,CON,"1,304",,0.09%,,,,,
144,P40003097,Iowa,IA,11/2/04,David,Cobb,"Cobb, David",,IG,"1,141",,0.08%,,,,,
145,n/a,Iowa,IA,11/2/04,,Scattered,Scattered,,W,"1,094",,0.07%,,,,,
146,P60004454,Iowa,IA,11/2/04,James,Harris,"Harris, James",,SWP,373,,0.02%,,,,,
147,n/a,Iowa,IA,11/2/04,Bill,Van Auken,"Van Auken, Bill",,NP,176,,0.01%,,,,,
148,n/a,Iowa,IA,11/2/04,,,,Total State Votes:,,,"1,506,908",,,,,,
149,P00003335,Kansas,KS,11/2/04,George W.,Bush,"Bush, George W.",,R,"736,456",,62.00%,,,,,
150,P80000235,Kansas,KS,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"434,993",,36.62%,,,,,
151,P20000527,Kansas,KS,11/2/04,Ralph,Nader,"Nader, Ralph",,REF,"9,348",,0.79%,,,,,
152,P40002537,Kansas,KS,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"4,013",,0.34%,,,,,
153,P40003261,Kansas,KS,11/2/04,Michael A.,Peroutka,"Peroutka, Michael A.",,I,"2,899",,0.24%,,,,,
154,P40003097,Kansas,KS,11/2/04,David,Cobb,"Cobb, David",,W,33,,0.00%,,,,,
155,n/a,Kansas,KS,11/2/04,Bill,Van Auken,"Van Auken, Bill",,W,5,,0.00%,,,,,
156,P40003519,Kansas,KS,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,5,,0.00%,,,,,
157,P40003337,Kansas,KS,11/2/04,Walt,Brown,"Brown, Walt",,W,4,,0.00%,,,,,
158,n/a,Kansas,KS,11/2/04,,,,Total State Votes:,,,"1,187,756",,,,,,
159,P00003335,Kentucky,KY,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,069,439",,59.55%,,,,,
160,P80000235,Kentucky,KY,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"712,733",,39.69%,,,,,
161,P20000527,Kentucky,KY,11/2/04,Ralph,Nader,"Nader, Ralph",,I,"8,856",,0.49%,,,,,
162,P40002537,Kentucky,KY,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"2,619",,0.15%,,,,,
163,P40003261,Kentucky,KY,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,CON,"2,213",,0.12%,,,,,
164,P40003337,Kentucky,KY,11/2/04,Walt,Brown,"Brown, Walt",,W,13,,0.00%,,,,,
165,P40003519,Kentucky,KY,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,9,,0.00%,,,,,
166,n/a,Kentucky,KY,11/2/04,,,,Total State Votes:,,,"1,795,882",,,,,,
167,P00003335,Louisiana,LA,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,102,169",,56.72%,,,,,
168,P80000235,Louisiana,LA,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"820,299",,42.22%,,,,,
169,P20000527,Louisiana,LA,11/2/04,Ralph,Nader,"Nader, Ralph",,TBL,"7,032",,0.36%,,,,,
170,P40003261,Louisiana,LA,11/2/04,Michael A.,Peroutka,"Peroutka, Michael A.",,CON,"5,203",,0.27%,,,,,
171,P40002537,Louisiana,LA,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"2,781",,0.14%,,,,,
172,P40003337,Louisiana,LA,11/2/04,Walter F.,Brown,"Brown, Walter F.",,PWF,"1,795",,0.09%,,,,,
173,n/a,Louisiana,LA,11/2/04,Gene,Amondson,"Amondson, Gene",,P,"1,566",,0.08%,,,,,
174,P40003097,Louisiana,LA,11/2/04,David,Cobb,"Cobb, David",,LG,"1,276",,0.07%,,,,,
175,P60004454,Louisiana,LA,11/2/04,James,Harris,"Harris, James",,SWP,985,,0.05%,,,,,
176,n/a,Louisiana,LA,11/2/04,,,,Total State Votes:,,,"1,943,106",,,,,,
177,P80000235,Maine,ME,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"396,842",,53.57%,,,,,
178,P00003335,Maine,ME,11/2/04,George W.,Bush,"Bush, George W.",,R,"330,201",,44.58%,,,,,
179,P20000527,Maine,ME,11/2/04,Ralph,Nader,"Nader, Ralph",,TBL,"8,069",,1.09%,,,,,
180,P40003097,Maine,ME,11/2/04,David,Cobb,"Cobb, David",,GI,"2,936",,0.40%,,,,,
181,P40002537,Maine,ME,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"1,965",,0.27%,,,,,
182,P40003261,Maine,ME,11/2/04,Michael,Peroutka,"Peroutka, Michael",,CON,735,,0.10%,,,,,
183,n/a,Maine,ME,11/2/04,,Scattered,Scattered,,W,4,,0.00%,,,,,
184,n/a,Maine,ME,11/2/04,,,,Total State Votes:,,,"740,752",,,,,,
185,P80000235,Maryland,MD,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"1,334,493",,55.91%,,,,,
186,P00003335,Maryland,MD,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,024,703",,42.93%,,,,,
187,P20000527,Maryland,MD,11/2/04,Ralph,Nader,"Nader, Ralph",,POP,"11,854",,0.50%,,,,,
188,P40002537,Maryland,MD,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"6,094",,0.26%,,,,,
189,P40003097,Maryland,MD,11/2/04,David,Cobb,"Cobb, David",,GRN,"3,632",,0.15%,,,,,
190,P40003261,Maryland,MD,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,CON,"3,421",,0.14%,,,,,
191,n/a,Maryland,MD,11/2/04,,Scattered,Scattered,,W,"2,440",,0.10%,,,,,
192,P00003962,Maryland,MD,11/2/04,Joe,Schriner,"Schriner, Joe",,W,27,,0.00%,,,,,
193,P40003519,Maryland,MD,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,7,,0.00%,,,,,
194,n/a,Maryland,MD,11/2/04,"Theodis (Ted), Sr.",Brown,"Brown, Theodis (Ted), Sr.",,W,4,,0.00%,,,,,
195,n/a,Maryland,MD,11/2/04,Lawson Mitchell,Bone,"Bone, Lawson Mitchell",,W,2,,0.00%,,,,,
196,n/a,Maryland,MD,11/2/04,"Robert Abraham, II",Boyle,"Boyle, Robert Abraham, II",,W,1,,0.00%,,,,,
197,n/a,Maryland,MD,11/2/04,,,,Total State Votes:,,,"2,386,678",,,,,,
198,P80000235,Massachusetts,MA,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"1,803,800",,61.94%,,,,,
199,P00003335,Massachusetts,MA,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,071,109",,36.78%,,,,,
200,P40002537,Massachusetts,MA,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"15,022",,0.52%,,,,,
201,P40003097,Massachusetts,MA,11/2/04,David,Cobb,"Cobb, David",,GR,"10,623",,0.36%,,,,,
202,n/a,Massachusetts,MA,11/2/04,,Scattered,Scattered,,W,"7,028",,0.24%,,,,,
203,P20000527,Massachusetts,MA,11/2/04,Ralph,Nader,"Nader, Ralph",,W,"4,806",,0.17%,,,,,
204,n/a,Massachusetts,MA,11/2/04,,,,Total State Votes:,,,"2,912,388",,,,,,
205,P80000235,Michigan,MI,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"2,479,183",,51.23%,,,,,
206,P00003335,Michigan,MI,11/2/04,George W.,Bush,"Bush, George W.",,R,"2,313,746",,47.81%,,,,,
207,P20000527,Michigan,MI,11/2/04,Ralph,Nader,"Nader, Ralph",,I,"24,035",,0.50%,,,,,
208,P40002537,Michigan,MI,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"10,552",,0.22%,,,,,
209,P40003097,Michigan,MI,11/2/04,David,Cobb,"Cobb, David",,GRN,"5,325",,0.11%,,,,,
210,P40003261,Michigan,MI,11/2/04,Michael Anthony,Peroutka,"Peroutka, Michael Anthony",,UST,"4,980",,0.10%,,,,,
211,P40003337,Michigan,MI,11/2/04,Walter,Brown,"Brown, Walter",,NL,"1,431",,0.03%,,,,,
212,n/a,Michigan,MI,11/2/04,,,,Total State Votes:,,,"4,839,252",,,,,,
213,P80000235,Minnesota,MN,11/2/04,John F.,Kerry,"Kerry, John F.",,DFL,"1,445,014",,51.09%,,,,,
214,P00003335,Minnesota,MN,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,346,695",,47.61%,,,,,
215,P20000527,Minnesota,MN,11/2/04,Ralph,Nader,"Nader, Ralph",,TBL,"18,683",,0.66%,,,,,
216,P40002537,Minnesota,MN,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"4,639",,0.16%,,,,,
217,P40003097,Minnesota,MN,11/2/04,David,Cobb,"Cobb, David",,GRN,"4,408",,0.16%,,,,,
218,P40003261,Minnesota,MN,11/2/04,Michael,Peroutka,"Peroutka, Michael",,CON,"3,074",,0.11%,,,,,
219,n/a,Minnesota,MN,11/2/04,,Scattered,Scattered,,W,"2,521",,0.09%,,,,,
220,n/a,Minnesota,MN,11/2/04,Thomas J.,Harens,"Harens, Thomas J.",,CHF,"2,387",,0.08%,,,,,
221,n/a,Minnesota,MN,11/2/04,Bill,Van Auken,"Van Auken, Bill",,SEP,539,,0.02%,,,,,
222,n/a,Minnesota,MN,11/2/04,R—ger,Calero,"Calero, R—ger",,SWP,416,,0.01%,,,,,
223,P40003519,Minnesota,MN,11/2/04,John Joseph,Kennedy,"Kennedy, John Joseph",,W,4,,0.00%,,,,,
224,n/a,Minnesota,MN,11/2/04,Martin,Wishnatsky,"Wishnatsky, Martin",,W,2,,0.00%,,,,,
225,n/a,Minnesota,MN,11/2/04,Debra Joyce,Renderos,"Renderos, Debra Joyce",,W,2,,0.00%,,,,,
226,P40003337,Minnesota,MN,11/2/04,Walt,Brown,"Brown, Walt",,W,2,,0.00%,,,,,
227,n/a,Minnesota,MN,11/2/04,Joy Elaina,Graham-Pendergast,"Graham-Pendergast, Joy Elaina",,W,1,,0.00%,,,,,
228,n/a,Minnesota,MN,11/2/04,,,,Total State Votes:,,,"2,828,387",,,,,,
229,P00003335,Mississippi,MS,11/2/04,George W.,Bush,"Bush, George W.",,R,"684,981",,59.45%,,,,,
230,P80000235,Mississippi,MS,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"458,094",,39.76%,,,,,
231,P20000527,Mississippi,MS,11/2/04,Ralph,Nader,"Nader, Ralph",,REF,"3,177",,0.28%,,,,,
232,P40002537,Mississippi,MS,11/2/04,Michael,Badnarik,"Badnarik, Michael",,LBT,"1,793",,0.16%,,,,,
233,P40003261,Mississippi,MS,11/2/04,Michael A.,Peroutka,"Peroutka, Michael A.",,CON,"1,759",,0.15%,,,,,
234,P60004454,Mississippi,MS,11/2/04,James,Harris,"Harris, James",,I,"1,268",,0.11%,,,,,
235,P40003097,Mississippi,MS,11/2/04,David,Cobb,"Cobb, David",,GRN,"1,073",,0.09%,,,,,
236,n/a,Mississippi,MS,11/2/04,,,,Total State Votes:,,,"1,152,145",,,,,,
237,P00003335,Missouri,MO,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,455,713",,53.30%,,,,,
